"X"	"Team"	"Game"	"Date"	"Home"	"Opponent"	"WINorLOSS"	"TeamPoints"	"OpponentPoints"	"FieldGoals"	"FieldGoalsAttempted"	"FieldGoals."	"X3PointShots"	"X3PointShotsAttempted"	"X3PointShots."	"FreeThrows"	"FreeThrowsAttempted"	"FreeThrows."	"OffRebounds"	"TotalRebounds"	"Assists"	"Steals"	"Blocks"	"Turnovers"	"TotalFouls"	"Opp.FieldGoals"	"Opp.FieldGoalsAttempted"	"Opp.FieldGoals."	"Opp.3PointShots"	"Opp.3PointShotsAttempted"	"Opp.3PointShots."	"Opp.FreeThrows"	"Opp.FreeThrowsAttempted"	"Opp.FreeThrows."	"Opp.OffRebounds"	"Opp.TotalRebounds"	"Opp.Assists"	"Opp.Steals"	"Opp.Blocks"	"Opp.Turnovers"	"Opp.TotalFouls"	"Season"	"Win"
"6757"	3382	"PHI"	33	"2017-01-03"	"Home"	"MIN"	"W"	93	91	33	85	0.388	7	32	0.219	20	25	0.8	12	48	19	10	7	16	21	33	82	0.402	7	24	0.292	18	20	0.9	9	47	20	7	6	17	24	"2017"	1
"6841"	3583	"PHO"	35	"2017-01-02"	"Away"	"LAC"	"L"	98	109	39	102	0.382	2	15	0.133	18	22	0.818	19	48	22	11	4	12	29	37	80	0.463	7	16	0.438	28	38	0.737	12	51	17	1	11	19	21	"2017"	0
"6924"	3684	"POR"	36	"2017-01-01"	"Away"	"MIN"	"W"	95	89	36	73	0.493	6	22	0.273	17	28	0.607	4	41	13	10	8	14	19	35	87	0.402	7	23	0.304	12	18	0.667	13	47	21	11	5	16	25	"2017"	1
"7004"	3485	"SAC"	34	"2017-01-03"	"Away"	"DEN"	"W"	120	113	46	88	0.523	11	29	0.379	17	18	0.944	5	33	26	7	2	8	13	41	82	0.5	18	38	0.474	13	13	1	4	32	29	6	4	14	18	"2017"	1
"7086"	3486	"SAS"	34	"2017-01-01"	"Away"	"ATL"	"L"	112	114	42	90	0.467	9	27	0.333	19	22	0.864	9	47	27	5	6	12	21	42	92	0.457	14	28	0.5	16	27	0.593	11	46	25	6	6	11	21	"2017"	0
"7167"	3387	"TOR"	33	"2017-01-01"	"Away"	"LAL"	"W"	123	114	42	75	0.56	10	17	0.588	29	32	0.906	5	40	18	5	9	16	25	37	92	0.402	15	32	0.469	25	31	0.806	16	43	19	8	3	7	21	"2017"	1
"7251"	3588	"UTA"	35	"2017-01-02"	"Away"	"BRK"	"W"	101	89	39	93	0.419	7	24	0.292	16	20	0.8	12	46	11	9	5	9	19	33	78	0.423	6	27	0.222	17	23	0.739	8	44	13	5	5	15	20	"2017"	1
"7331"	3389	"WAS"	33	"2017-01-02"	"Away"	"HOU"	"L"	91	101	38	87	0.437	6	26	0.231	9	12	0.75	7	45	23	9	2	17	21	37	86	0.43	12	39	0.308	15	21	0.714	7	41	25	9	9	13	12	"2017"	0
"7417"	3790	"ATL"	37	"2018-01-02"	"Away"	"PHO"	"L"	103	104	36	87	0.414	10	31	0.323	21	25	0.84	17	40	18	11	3	16	22	39	77	0.506	7	22	0.318	19	27	0.704	11	47	24	7	4	21	22	"2018"	0
"7503"	41130	"BOS"	41	"2018-01-03"	"Home"	"CLE"	"W"	102	88	41	92	0.446	12	36	0.333	8	11	0.727	9	52	27	9	2	15	20	31	89	0.348	8	32	0.25	18	18	1	9	48	16	6	7	14	17	"2018"	1
"7581"	3792	"BRK"	37	"2018-01-01"	"Home"	"ORL"	"W"	98	95	36	82	0.439	9	25	0.36	17	23	0.739	10	52	17	7	10	13	22	35	96	0.365	6	31	0.194	19	25	0.76	19	52	16	5	5	12	18	"2018"	1
"7663"	3793	"CHO"	37	"2018-01-02"	"Away"	"SAC"	"W"	131	111	51	89	0.573	15	32	0.469	14	18	0.778	5	30	25	7	3	3	14	45	87	0.517	7	17	0.412	14	18	0.778	16	47	22	1	2	15	19	"2018"	1
"7745"	3794	"CHI"	37	"2018-01-01"	"Home"	"POR"	"L"	120	124	45	104	0.433	11	27	0.407	19	23	0.826	15	58	28	5	7	12	21	47	108	0.435	14	33	0.424	16	18	0.889	12	50	25	7	5	8	16	"2018"	0
"7827"	3795	"CLE"	37	"2018-01-02"	"Home"	"POR"	"W"	127	110	43	83	0.518	13	32	0.406	28	37	0.757	8	40	28	11	4	10	17	42	90	0.467	13	32	0.406	13	19	0.684	13	43	25	5	5	15	29	"2018"	1
"7911"	3996	"DAL"	39	"2018-01-03"	"Home"	"GSW"	"L"	122	125	43	90	0.478	19	43	0.442	17	22	0.773	7	40	29	6	2	12	17	48	91	0.527	13	32	0.406	16	19	0.842	7	46	36	8	7	14	21	"2018"	0
"7991"	3797	"DEN"	37	"2018-01-03"	"Home"	"PHO"	"W"	134	111	51	82	0.622	12	27	0.444	20	22	0.909	8	48	35	8	9	20	16	39	92	0.424	13	35	0.371	20	28	0.714	14	35	26	12	1	12	18	"2018"	1
